,id,name,team,overall,value_eur,player_positions,team_position,ST,LW,RW,CAM,LM,RM,CDM,LB,CB,RB,Overall attacking,Overall defending
0,158023,L. Messi,FC Barcelona,94,95500000,"RW, CF, ST",RW,89+2,93+2,93+2,93+2,92+2,92+2,66+2,63+2,52+2,63+2,86.6,32.0
1,20801,Cristiano Ronaldo,Juventus,93,58500000,"ST, LW",LW,91+3,89+3,89+3,88+3,88+3,88+3,61+3,61+3,53+3,61+3,87.4,28.0
2,190871,Neymar Jr,Paris Saint-Germain,92,105500000,"LW, CAM",CAM,84+3,90+3,90+3,90+3,89+3,89+3,61+3,61+3,46+3,61+3,82.0,27.3
3,200389,J. Oblak,Atlético Madrid,91,77500000,GK,GK,,,,,,,,,,,19.0,19.0
4,183277,E. Hazard,Real Madrid,91,90000000,"LW, CF",LW,83+3,89+3,89+3,89+3,89+3,89+3,63+3,61+3,49+3,61+3,79.6,27.7
5,192985,K. De Bruyne,Manchester City,91,90000000,"CAM, CM",RCM,82+3,87+3,87+3,88+3,88+3,88+3,77+3,73+3,66+3,73+3,80.8,59.0
6,192448,M. ter Stegen,FC Barcelona,90,67500000,GK,GK,,,,,,,,,,,23.6,16.0
7,203376,V. van Dijk,Liverpool,90,78000000,CB,LCB,69+3,67+3,67+3,69+3,69+3,69+3,83+3,81+3,87+3,81+3,62.8,89.3
8,177003,L. Modrić,Real Madrid,90,45000000,CM,RCM,77+3,84+3,84+3,86+3,85+3,85+3,81+3,79+3,72+3,79+3,76.2,71.7
9,209331,M. Salah,Liverpool,90,80500000,"RW, ST",RW,84+3,88+3,88+3,87+3,87+3,87+3,67+3,66+3,57+3,66+3,78.2,40.7
10,231747,K. Mbappé,Paris Saint-Germain,89,93500000,"ST, RW",RW,86+3,87+3,87+3,86+3,86+3,86+3,62+3,63+3,54+3,63+3,81.0,33.3
11,201024,K. Koulibaly,Napoli,89,67500000,CB,LCB,56+3,55+3,55+3,58+3,60+3,60+3,79+3,77+3,86+3,77+3,44.0,89.3
12,202126,H. Kane,Tottenham Hotspur,89,83000000,ST,ST,86+3,82+3,82+3,83+3,82+3,82+3,66+3,62+3,60+3,62+3,84.2,43.3
13,212831,Alisson,Liverpool,89,58000000,GK,GK,,,,,,,,,,,22.8,16.7
14,193080,De Gea,Manchester United,89,56000000,GK,GK,,,,,,,,,,,22.8,19.7
15,215914,N. Kanté,Chelsea,89,66000000,"CDM, CM",RCM,72+3,77+3,77+3,78+3,79+3,79+3,87+3,84+3,83+3,84+3,65.8,88.7
16,138956,G. Chiellini,Juventus,89,24500000,CB,LCB,58+3,55+3,55+3,56+3,57+3,57+3,77+3,76+3,86+3,76+3,56.0,91.3
17,153079,S. Agüero,Manchester City,89,60000000,ST,ST,87+3,85+3,85+3,85+3,83+3,83+3,58+3,56+3,50+3,56+3,81.8,27.7
18,155862,Sergio Ramos,Real Madrid,89,31500000,CB,LCB,74+3,72+3,72+3,74+3,73+3,73+3,84+3,82+3,87+3,82+3,74.0,87.3
19,176580,L. Suárez,FC Barcelona,89,53000000,ST,ST,86+5,83+5,83+5,84+5,82+5,82+5,67+5,64+5,63+5,64+5,84.8,46.7
20,188545,R. Lewandowski,FC Bayern München,89,64500000,ST,ST,86+3,82+3,82+3,83+3,80+3,80+3,62+3,58+3,57+3,58+3,81.0,31.7
21,189511,Sergio Busquets,FC Barcelona,89,55000000,"CDM, CM",CDM,70+3,73+3,73+3,78+3,75+3,75+3,86+3,78+3,82+3,78+3,66.0,85.3
22,194765,A. Griezmann,FC Barcelona,89,69000000,"CF, ST, LW",LW,85+3,87+3,87+3,87+3,86+3,86+3,71+3,70+3,65+3,70+3,85.6,54.0
23,211110,P. Dybala,Juventus,88,76500000,"CAM, RW",RW,80+3,85+3,85+3,86+3,85+3,85+3,64+3,64+3,54+3,64+3,80.2,40.0
24,195864,P. Pogba,Manchester United,88,72500000,"CM, CDM",LDM,81+3,82+3,82+3,84+3,83+3,83+3,77+3,74+3,72+3,74+3,80.0,65.0
25,210257,Ederson,Manchester City,88,54500000,GK,GK,,,,,,,,,,,24.4,17.3
26,202652,R. Sterling,Manchester City,88,73000000,"RW, LW",LW,79+3,86+3,86+3,85+3,85+3,85+3,62+3,64+3,51+3,64+3,70.0,49.0
27,190460,C. Eriksen,Tottenham Hotspur,88,68000000,"CAM, CM",RM,78+3,84+3,84+3,86+3,85+3,85+3,71+3,66+3,57+3,66+3,77.6,46.0
28,192119,T. Courtois,Real Madrid,88,48000000,GK,GK,,,,,,,,,,,17.2,18.0
29,152729,Piqué,FC Barcelona,88,38000000,CB,RCB,70+3,67+3,67+3,71+3,69+3,69+3,83+3,78+3,85+3,78+3,69.4,88.0
30,162835,S. Handanovič,Inter,88,26000000,GK,GK,,,,,,,,,,,16.0,16.0
31,167495,M. Neuer,FC Bayern München,88,32000000,GK,GK,,,,,,,,,,,23.8,12.7
32,167948,H. Lloris,Tottenham Hotspur,88,36000000,GK,GK,,,,,,,,,,,18.8,19.0
33,168542,David Silva,Manchester City,88,36000000,"CAM, CM",LCM,76+3,83+3,83+3,85+3,83+3,83+3,69+3,63+3,56+3,63+3,76.8,47.0
34,179813,E. Cavani,Paris Saint-Germain,88,47000000,ST,ST,85+3,80+3,80+3,80+3,79+3,79+3,66+3,66+3,65+3,66+3,83.0,48.0
35,182493,D. Godín,Inter,88,28000000,CB,RCB,62+3,59+3,59+3,61+3,61+3,61+3,80+3,77+3,86+3,77+3,61.6,88.7
36,182521,T. Kroos,Real Madrid,88,57000000,CM,LCM,75+3,78+3,78+3,81+3,79+3,79+3,79+3,72+3,69+3,72+3,78.8,68.0
37,188350,M. Reus,Borussia Dortmund,88,56000000,"CAM, LM, ST",CAM,82+3,86+3,86+3,86+3,85+3,85+3,65+3,64+3,55+3,64+3,78.8,43.7
